"","ID","ID_year","ID_Rater1","ID_Rater2","Score_Rater1","Score_Rater2","C_extra_1","C_extra_2","C_sum_1","C_sum_2","L_extra_1","L_extra_2","L_struct_1","L_struct_2","L_style_1","L_style_2","L_syntax_1","L_syntax_2"
"10482",109077,14,"0000cac0","0001d569",23,35,0,0,15,23,0,0,4,6,3,4,1,2
"10483",109078,11,"0001d3a8","0000cee3",30,19,0,0,19,9,0,0,5,5,4,4,2,1
"10484",109079,12,"0000ccfb","0001d497",46,44,1,2,28,27,1,1,6,5,5,3,5,6
"10486",109081,10,"0001a9c1","0001dc0b",27,28,0,0,16,17,0,0,5,6,6,4,0,1
"10487",109081,13,"0000cee4","0001dbed",25,26,0,0,15,18,0,0,6,4,4,4,0,0
"10489",109082,10,"0001dbd8","0001db91",31,32,0,0,19,20,0,0,5,6,5,4,2,2
"10490",109083,11,"0001b0fa","0001dbdc",19,32,0,0,8,19,0,0,3,4,5,5,3,4
"10492",109084,13,"0001dbe0","0001dc0c",30,32,0,0,17,22,0,0,6,5,4,3,3,2
"10493",109085,11,"0001a9c5","0000cee6",28,24,0,0,16,13,0,0,6,6,5,4,1,1
"10495",109086,10,"0001d8b5","0001d56a",32,32,0,0,22,21,0,0,6,6,4,5,0,0
"10496",109086,11,"0001dbb3","0001d5f0",32,25,0,0,23,19,0,0,6,6,2,0,1,0
"10500",109089,13,"0001d32b","0001d30c",31,37,0,0,20,21,0,0,6,5,3,5,2,6
"10502",109091,12,"0001de3e","0001dbed",38,36,0,0,30,25,0,0,6,6,2,5,0,0
"10505",109093,13,"0001d665","0001d3a0",27,35,0,0,15,21,0,0,6,6,2,6,4,2
"10506",109094,10,"0000ceea","0001d32b",36,36,0,0,21,19,0,0,6,6,4,5,5,6
"10507",109095,14,"0000c9ba","0001d569",25,26,0,0,17,17,0,0,5,6,3,3,0,0
"10508",109096,13,"0001dbb4","0001dc15",41,33,0,0,27,19,0,0,5,6,5,3,4,5
"10509",109097,12,"0001d392","0001dbbd",20,22,0,0,14,13,0,0,3,5,2,4,1,0
"10510",109098,12,"0001dbcd","0001d49a",38,42,1,2,25,25,0,1,5,5,4,4,3,5
"10511",109099,14,"0001d3a6","0001dbc3",28,18,0,0,19,11,0,0,6,5,3,2,0,0
"10512",109100,12,"0001d57a","0001a9c0",22,26,0,0,16,17,0,0,3,4,3,3,0,2
"10513",109101,12,"0001dbf8","0001dc0d",23,30,0,0,17,19,0,0,2,3,3,4,1,4
"10514",109102,12,"0000cee7","0001d39f",32,43,0,0,24,27,0,0,4,6,2,6,2,4
"10515",109103,12,"0001dbb0","0001dbf2",27,35,0,0,17,20,0,0,5,5,3,4,2,6
"10516",109104,10,"0001d3a9","0001d182",29,25,0,0,16,15,0,0,6,5,5,3,2,2
"10517",109105,11,"0000cee7","0000c9be",15,15,0,0,9,6,0,0,4,5,2,4,0,0
"10519",109106,14,"0001dbf5","0001a9c3",24,27,0,0,18,20,0,0,4,5,2,2,0,0
"10520",109107,13,"0001dba2","0001daa6",21,27,0,0,15,17,0,0,3,6,3,3,0,1
"10521",109108,13,"0000c9b4","0001d51c",18,27,0,0,12,19,0,0,3,5,3,3,0,0
"10522",109109,13,"0001d395","0001d392",44,42,1,3,25,24,0,1,6,6,6,4,6,4
"10523",109110,10,"0001dbd6","0001dbea",32,24,0,0,22,15,0,0,5,5,3,3,2,1
"10525",109111,10,"0001d3a6","0001d34e",24,25,0,0,16,16,0,0,5,6,3,3,0,0
"10526",109112,13,"0001dbb4","0000cc4c",25,23,0,0,15,13,0,0,5,6,5,1,0,3
"10527",109113,14,"0001dc14","0001dbd8",40,32,0,0,23,18,1,0,6,5,5,5,5,4
"10528",109114,11,"0001d497","0001d33e",32,29,0,0,22,18,0,0,5,6,3,3,2,2
"10529",109115,11,"0001d588","0001dbd6",24,25,0,0,16,16,0,0,5,6,2,3,1,0
"10531",109115,12,"0001d2d3","0001d353",25,25,0,0,15,17,0,0,5,5,4,1,1,2
"10532",109115,13,"0000cbf8","0000c9ba",15,21,0,0,8,9,0,0,6,4,1,5,0,3
"10533",109116,14,"0000c9b3","0001d497",26,25,0,0,16,17,0,0,3,5,4,3,3,0
"10534",109117,10,"0001a9cb","0001d588",20,24,0,0,13,15,0,0,4,5,1,4,2,0
"10536",109117,11,"0001dbb5","0000ccfb",31,32,0,0,18,21,0,0,5,5,4,3,4,3
"10538",109118,10,"0001d3a5","0001d393",22,26,0,0,13,18,0,0,6,5,3,3,0,0
"10540",109119,11,"0001dc1c","0001dbcd",27,24,0,0,19,16,0,0,6,5,1,3,1,0
"10541",109120,11,"0001d588","0001dbd6",40,37,0,0,29,27,0,0,6,6,5,4,0,0
"10542",109121,10,"0000ce1e","0001d8b2",15,15,0,0,9,10,0,0,3,4,2,1,1,0
"10543",109122,11,"0001ae17","0001ae09",27,28,0,0,18,22,0,0,5,5,4,1,0,0
"10544",109123,13,"0001dbd5","0000cee1",38,32,0,1,26,23,0,0,5,5,4,2,3,1
"10545",109124,14,"0001d56b","0001dbd6",33,34,0,0,24,25,0,0,5,5,4,4,0,0
"10546",109125,14,"0001d8b2","0000c9ba",39,37,0,2,28,29,0,0,6,4,3,2,2,0
"10547",109126,14,"0000c9b4","0000cabe",18,22,0,0,9,11,0,0,4,6,4,4,1,1
"10548",109127,11,"0001d8b5","0001dbcb",39,31,1,0,23,22,0,0,6,6,5,2,4,1
"10549",109128,10,"0001dbaf","0001dbc5",26,25,0,0,15,14,0,0,6,6,5,4,0,1
"10551",109128,13,"0000c9bc","0001dbff",21,25,0,0,13,14,0,0,5,6,3,4,0,1
"10552",109129,14,"0000cac2","0001d5c7",25,27,0,0,14,15,0,0,5,5,3,4,3,3
"10553",109130,10,"0001dbc3","0001d668",34,31,0,0,23,22,0,0,6,5,4,3,1,1
"10554",109131,12,"0001d56a","0001d8b2",49,27,1,0,27,19,2,0,6,5,6,0,7,3
"10556",109132,10,"0000ce13","0001d585",27,35,0,1,19,19,0,0,6,6,1,5,1,4
"10558",109134,10,"0001dbb5","0001d4dd",30,30,0,0,17,18,0,0,6,6,5,3,2,3
"10559",109135,14,"0001dbc5","0001d37d",34,27,0,0,28,19,0,0,3,5,3,2,0,1
"10560",109136,10,"0001dbc8","0001a9c1",23,33,0,0,15,16,0,2,2,5,4,6,2,4
"10561",109137,13,"0001d497","0001b109",40,39,0,0,24,19,0,2,5,5,5,6,6,7
"10562",109138,13,"0001dc09","0001d586",35,28,1,0,23,20,0,0,6,3,4,4,1,1
"10563",109139,14,"0001dba3","0001ae07",36,31,0,0,21,17,0,0,6,6,5,5,4,3
"10564",109140,12,"0001dbc3","0001d34e",34,32,0,0,23,21,0,0,6,6,2,3,3,2
"10565",109141,13,"0001d3a9","0001dc14",35,21,0,0,19,11,0,0,6,3,6,4,4,3
"10566",109142,14,"0001d66c","0001d393",30,33,0,0,20,22,0,0,5,6,5,5,0,0
"10568",109143,10,"0001d49a","0001d395",18,28,0,0,13,14,0,0,2,6,3,5,0,3
"10569",109144,14,"0001a9cc","0000ce13",26,25,0,0,19,19,0,0,5,6,2,0,0,0
"10570",109145,14,"0000cabf","0001daa3",28,30,0,0,15,15,0,0,5,5,4,5,4,5
"10571",109146,11,"0000cc4c","0001ae1b",15,23,0,0,9,16,0,0,6,6,0,1,0,0
"10572",109147,14,"0001d570","0001ae08",26,28,0,0,17,17,0,0,5,5,4,4,0,2
"10573",109148,12,"0001d30c","0001d4e2",34,46,0,2,17,28,0,0,5,6,6,5,6,5
"10574",109149,11,"0000cccf","0000cc4c",37,28,0,0,25,17,0,0,6,5,3,4,3,2
"10575",109150,11,"0000ccfb","0000ce21",26,17,0,0,17,10,0,0,4,4,3,3,2,0
"10576",109151,13,"0001d181","0001d56a",44,41,2,0,27,23,1,2,6,6,6,6,2,4
"10577",109152,14,"0000c9b4","0000cabe",31,27,1,0,18,16,0,1,6,5,4,4,2,1
"10578",109153,12,"0001d37d","0001b105",12,16,0,0,5,7,0,0,4,5,2,3,1,1
"10579",109154,10,"0001ae1c","0001b108",22,23,0,0,17,14,0,0,5,5,0,3,0,1
"10580",109155,10,"0001ae17","0001db91",35,31,0,1,22,21,0,0,5,5,5,3,3,1
"10581",109156,10,"0000cee0","0001a9ca",36,33,2,0,25,21,0,0,3,6,4,4,2,2
"10582",109157,12,"0001dbfb","0001dbe0",34,38,0,0,22,25,0,0,6,6,4,6,2,1
"10584",109158,11,"0001d39f","0001d51c",31,31,0,0,18,18,0,0,6,6,4,5,3,2
"10585",109159,13,"0001d3a4","0000ccf0",37,36,2,1,25,26,0,0,5,4,5,4,0,1
"10586",109160,10,"0001b0f6","0001d2d3",19,13,0,0,12,9,0,0,5,4,2,0,0,0
"10587",109161,11,"0000cd23","0001dba3",36,32,0,0,22,19,0,0,6,5,4,5,4,3
"10588",109162,10,"0001d591","0001d592",28,29,0,0,21,21,0,0,4,5,3,3,0,0
"10589",109163,13,"0001dc15","0001d382",31,27,0,0,17,16,0,0,6,5,4,3,4,3
"10590",109164,11,"0001d588","0001dbd6",25,30,0,0,17,20,0,0,5,6,3,4,0,0
"10591",109165,14,"0001dc0c","0001db9d",20,26,0,0,10,15,0,0,4,5,2,5,4,1
"10592",109166,14,"0001d497","0001ae1b",22,23,0,0,15,15,0,0,4,4,3,2,0,2
"10593",109167,14,"0001d8b5","0001dbd5",32,33,0,0,20,19,0,0,4,6,5,6,3,2
"10594",109168,14,"0001d182","0001d8b8",27,23,0,0,19,17,0,0,5,5,3,1,0,0
"10595",109169,10,"0001dba7","0001dbfe",36,39,0,1,22,23,1,0,6,6,6,6,1,3
"10596",109170,11,"0001d3a5","0001a9c3",39,39,2,1,25,26,0,0,6,6,6,6,0,0
"10597",109171,13,"0001b141","0001d3a8",32,27,1,0,21,20,0,0,5,4,5,3,0,0
"10598",109172,10,"0001d3a5","0000cabf",28,31,0,0,15,16,0,1,6,6,6,4,1,4
"10599",109173,12,"0001dbcb","0001d8b5",20,19,0,0,15,12,0,0,4,5,1,2,0,0
"10601",109174,12,"0001daa6","0000ceeb",36,26,0,0,26,22,0,0,6,2,4,2,0,0
"10602",109175,13,"0001d674","0001dbc2",26,28,0,0,9,16,0,0,6,4,5,3,6,5
"10604",109177,10,"0001dbd8","0001db8e",29,31,0,0,21,22,0,0,4,5,4,4,0,0
"10605",109178,13,"0001d353","0001dbb0",39,41,0,1,26,23,0,1,6,6,4,5,3,5
"10606",109179,11,"0001dbc3","0001d34e",24,20,0,0,14,11,0,0,5,5,3,3,2,1
"10609",109180,14,"0001dc0d","0001dbfb",23,19,0,0,12,10,0,0,4,5,5,3,2,1
"10610",109181,12,"0000ceeb","0001ae08",35,38,1,0,23,27,0,0,4,6,5,4,2,1
"10611",109182,12,"0001db8f","0001d5ea",38,36,0,0,28,25,0,0,5,5,5,4,0,2
"10612",109183,10,"0001dc15","0001b108",34,34,0,0,18,15,0,1,6,6,4,5,6,7
"10613",109184,12,"0001d586","0001dbc5",29,39,0,0,18,27,0,0,6,4,3,3,2,5
"10614",109185,12,"0001d668","0001dc0b",39,41,0,0,25,28,0,0,6,6,4,4,4,3
"10615",109186,14,"0001dc0c","0001db9d",13,32,0,0,11,22,0,0,2,5,0,5,0,0
"10616",109187,10,"0001d577","0001b141",33,36,0,1,20,22,0,1,6,6,5,6,2,0
"10617",109188,13,"0001d674","0001dbc2",31,34,0,0,16,18,0,0,5,5,4,5,6,6
"10618",109189,13,"0000ccf0","0001db9d",34,26,1,0,23,13,0,0,4,5,4,5,2,3
"10619",109190,12,"0001dba3","0001d3aa",33,31,0,0,23,20,0,0,5,6,3,3,2,2
"10620",109191,11,"0001d569","0001d181",37,32,0,0,26,23,0,0,6,5,4,2,1,2
"10621",109192,14,"0001dbfe","0001dba7",33,30,0,0,20,20,0,0,6,6,5,4,2,0
"10622",109193,11,"0001d2d3","0000ce20",24,28,0,0,13,17,0,0,3,4,5,2,3,5
"10623",109194,11,"0001dba6","0001d395",42,42,1,1,28,24,0,0,5,6,5,6,3,5
"10624",109195,12,"0001d37d","0001b105",23,30,0,0,18,22,0,0,5,6,0,2,0,0
"10626",109196,14,"0001a9c1","0001d66b",30,31,0,2,24,22,0,0,4,5,2,2,0,0
"10627",109197,12,"0000cee0","0001d57b",21,25,0,0,12,15,0,0,5,6,1,3,3,1
"10628",109197,13,"0001d591","0001d3a5",38,34,0,0,21,21,1,0,6,6,3,3,7,4
"10631",109199,13,"0001dbea","0001d181",31,38,2,1,21,26,0,0,5,6,3,3,0,2
"10632",109200,11,"0001dbb3","0001d5f0",18,19,0,0,7,12,0,0,6,5,5,2,0,0
"10634",109201,10,"0001a9c2","0000ceea",28,33,0,1,21,22,1,0,6,5,0,2,0,3
"10635",109202,12,"0001d3a5","0000cabf",23,24,0,0,15,15,0,0,5,5,3,2,0,2
"10636",109202,13,"0001d591","0001dbf5",36,33,0,0,17,18,1,1,6,6,6,5,6,3
"10637",109203,11,"0001d2d4","0000cee4",30,29,0,0,20,23,0,0,6,4,4,2,0,0
"10638",109204,12,"0001dba2","0000cabc",27,32,0,0,15,18,0,0,5,5,3,5,4,4
"10639",109205,11,"0001d457","0001d57d",29,31,0,0,23,20,0,0,3,5,3,3,0,3
"10642",109207,13,"0001dbc3","0001d668",22,29,0,0,14,21,0,0,5,5,3,2,0,1
"10644",109207,14,"0000ce21","0001d4dd",20,30,0,0,14,20,0,0,3,6,3,4,0,0
"10646",109208,10,"0001b109","0001ae1d",31,28,1,0,20,19,0,0,6,6,4,2,0,1
"10647",109209,10,"0001b105","0001d381",32,30,0,1,24,21,0,0,5,5,2,3,1,0
"10648",109210,10,"0001dbaf","0001dbc5",23,26,0,0,10,13,0,0,5,6,5,4,3,3
"10649",109211,13,"0001d32b","0000cd39",32,29,1,0,21,22,0,0,6,4,4,1,0,2
"10650",109212,11,"0001d2d4","0000cee4",39,35,0,0,24,22,0,0,6,5,5,4,4,4
"10652",109212,13,"0000ce13","0001dbd5",33,35,0,0,26,24,0,0,6,5,1,5,0,1
"10654",109213,13,"0000ce13","0001dbd5",39,43,0,0,27,30,0,0,6,5,4,5,2,3
"10656",109215,10,"0001dbd5","0001a9cc",36,35,0,1,23,25,0,0,6,6,5,1,2,2
"10658",109217,14,"0001db88","0001dbf8",36,29,2,0,24,20,0,0,6,5,4,3,0,1
"10659",109218,12,"0000c9b6","0001d181",24,20,0,0,16,15,0,0,6,4,2,1,0,0
"10661",109218,13,"0001d66f","0001dbed",18,31,0,0,9,20,0,0,3,6,4,5,2,0
"10662",109219,10,"0001d5ea","0001d588",36,28,0,0,23,18,0,0,5,6,4,4,4,0
"10663",109220,14,"0001d8b4","0001b109",17,20,0,0,11,10,0,0,4,5,2,5,0,0
"10664",109221,11,"0000cc4c","0001ae1b",24,28,0,0,15,19,0,0,4,5,1,1,4,3
"10665",109222,11,"0001d181","0001d585",20,25,0,0,14,15,0,0,5,6,1,4,0,0
"10666",109223,13,"0001a9cc","0001a9cb",37,36,0,0,21,21,2,1,6,6,5,5,3,3
"10667",109224,12,"0001dbb3","0000ce20",36,37,0,0,24,26,0,0,6,6,4,3,2,2
"10668",109225,13,"0001db9d","0000cd39",25,25,0,0,16,19,0,0,5,6,4,0,0,0
"10669",109226,13,"0001dbc5","0001b0f6",36,34,0,1,28,24,0,0,4,6,3,3,1,0
"10670",109227,12,"0001d5ea","0000ce1e",30,35,0,0,15,25,0,0,6,6,4,3,5,1
"10672",109229,12,"0001dbc2","0001d674",27,29,0,0,20,19,0,0,5,6,2,2,0,2
"10673",109230,11,"0001d3a9","0001d5fb",12,16,0,0,4,10,0,0,5,3,3,3,0,0
"10674",109230,14,"0000ceeb","0001db8e",20,24,0,0,14,16,0,0,3,5,3,3,0,0
"10675",109231,11,"0001d33e","0001dbb5",28,31,0,0,17,20,0,0,5,4,4,4,2,3
"10677",109232,10,"0001a9cb","0001dbd6",29,25,0,0,21,17,0,0,5,4,3,4,0,0
"10678",109233,11,"0001d8b2","0001dbd5",36,30,0,0,27,22,0,0,5,6,3,2,1,0
"10679",109234,11,"0000ccf0","0001dbe0",44,36,1,0,26,21,0,0,6,5,5,5,6,5
"10680",109235,13,"0001a9c4","0001db88",24,25,0,0,14,14,0,0,4,5,4,5,2,1
"10682",109237,14,"0001d8b8","0001dba2",24,30,0,0,12,20,0,0,6,5,5,3,1,2
"10683",109238,14,"0001dbb1","0001daa3",36,34,2,2,27,22,0,0,5,6,2,3,0,1
"10684",109239,12,"0000c9b9","0001d37d",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10686",109241,11,"0001a9c1","0001d668",38,33,2,0,27,24,1,0,5,5,3,3,0,1
"10688",109242,13,"0001d5ea","0000ce13",34,29,0,0,24,22,0,0,4,6,4,1,2,0
"10689",109243,10,"0001ae1d","0000ccfb",17,28,0,0,10,17,0,0,6,6,0,3,1,2
"10690",109244,10,"0001dbf5","0001d49b",28,30,0,0,19,19,0,0,5,6,3,4,1,1
"10691",109245,12,"0001a9c1","0001dbc8",31,28,0,0,23,18,0,0,5,6,3,3,0,1
"10692",109246,14,"0001dbce","0001d2d4",28,29,0,0,23,18,0,0,4,6,1,5,0,0
"10693",109247,10,"0000ceeb","0001ae17",25,32,0,0,20,22,0,0,3,5,1,5,1,0
"10694",109248,10,"0001dc20","0001dc14",32,27,0,0,23,23,0,0,6,4,3,0,0,0
"10695",109249,12,"0001d577","0000cee3",25,32,0,0,13,19,0,0,6,6,4,4,2,3
"10697",109251,14,"0001d669","0001a9c1",25,20,0,0,13,12,0,0,6,5,5,3,1,0
"10698",109252,14,"0001d33e","0000cccf",27,26,0,0,17,18,0,0,5,5,5,3,0,0
"10699",109253,10,"0001dbe1","0000ccfe",17,13,0,0,11,11,0,0,2,1,4,1,0,0
"10700",109253,13,"0001a9cb","0001a9cc",11,12,0,0,8,9,0,0,1,3,2,0,0,0
"10701",109254,10,"0001dbf5","0001d49b",27,32,0,0,20,23,0,0,5,6,2,3,0,0
"10702",109255,11,"0001dbf5","0001d3a5",24,30,0,0,16,20,0,0,4,6,4,4,0,0
"10703",109256,10,"0001d51c","0000cee8",32,28,0,0,25,22,0,0,5,5,2,1,0,0
"10704",109257,14,"0001dbfb","0001dc0d",25,33,0,0,12,19,0,0,5,6,5,5,3,3
"10705",109258,10,"0001d8b5","0001db8f",24,29,0,0,14,18,0,0,5,6,5,5,0,0
"10706",109259,11,"0001d3aa","0000cd39",25,30,0,0,16,22,0,0,4,4,4,2,1,2
"10707",109260,11,"0001d382","0001d497",30,31,0,0,21,23,0,0,4,6,2,2,3,0
"10708",109261,12,"0001d8b5","0001dbd5",29,27,0,0,14,18,0,0,5,4,5,4,5,1
"10709",109262,12,"0001d5ea","0000ce1e",40,40,0,0,26,27,0,0,6,6,4,4,4,3
"10710",109263,13,"0001d665","0001d3a0",28,29,0,0,18,19,0,0,6,6,4,4,0,0
"10711",109264,14,"0001d590","0001d57a",34,29,0,0,26,23,0,0,5,3,2,3,1,0
"10712",109265,14,"0000ce13","0001d56b",26,25,0,0,20,19,0,0,6,4,0,2,0,0
"10713",109266,11,"0000ce13","0000c9bc",39,32,0,0,23,22,0,0,6,5,5,1,5,4
"10714",109267,10,"0000ccfb","0001d8b4",32,38,0,0,19,22,0,1,6,6,4,6,3,3
"10716",109268,13,"0000cccf","0001ae1c",31,26,0,0,22,15,0,0,6,6,3,4,0,1
"10717",109269,13,"0001b109","0001dbb5",27,29,0,0,19,19,0,0,6,5,2,3,0,2
"10718",109270,14,"0001dbd8","0001dba2",27,39,0,0,17,21,0,1,4,6,4,5,2,6
"10719",109271,10,"0001dbcd","0001d39e",24,14,0,0,17,10,0,0,5,3,2,1,0,0
"10721",109272,11,"0001dba3","0001b0fa",29,22,0,0,19,15,0,0,5,6,4,1,1,0
"10722",109273,13,"0001dba7","0001d569",34,35,0,0,25,22,0,0,4,6,4,4,1,3
"10723",109274,14,"0001d3a8","0001dba3",37,33,2,0,22,22,0,0,6,3,3,4,4,4
"10724",109275,10,"0001b108","0001d30b",28,27,0,0,15,19,0,0,4,4,6,2,3,2
"10725",109276,13,"0001dba7","0001d569",35,32,0,0,29,24,0,0,3,5,3,3,0,0
"10726",109277,12,"0000c9b5","0001d39e",32,27,0,0,25,19,0,0,4,4,3,3,0,1
"10727",109278,10,"0001db88","0001d49a",31,22,0,0,20,18,0,0,6,1,5,3,0,0
"10728",109279,11,"0001d8b7","0001b0f6",27,28,0,0,15,20,0,0,5,5,5,3,2,0
"10729",109280,14,"0001db88","0001dbf8",24,18,0,0,16,12,0,0,6,4,2,2,0,0
"10730",109281,12,"0000ce21","0000cccf",40,24,1,0,20,15,2,0,6,6,5,3,6,0
"10731",109282,10,"0001a9ca","0001d37d",36,39,0,0,20,24,0,0,6,6,5,5,5,4
"10732",109283,11,"0001dbd4","0001d56a",26,36,0,0,15,23,0,0,6,6,4,5,1,2
"10733",109284,12,"0001d669","0001d668",26,33,0,0,18,23,0,0,5,5,3,4,0,1
"10735",109285,11,"0001dbf8","0001dc0d",24,26,0,0,18,17,0,0,3,4,3,3,0,2
"10738",109287,10,"0000ce20","0001d586",26,25,0,0,21,17,0,0,3,4,1,3,1,1
"10739",109288,11,"0001d674","0001dbc2",26,24,0,0,15,14,0,0,5,6,3,3,3,1
"10742",109290,10,"0000ccfb","0001d8b4",36,39,1,0,23,23,0,1,5,6,3,5,4,4
"10743",109291,11,"0001d392","0001d39e",45,40,2,1,26,21,1,2,6,6,6,6,4,4
"10745",109292,12,"0001d3a4","0001dbfb",49,49,3,2,30,25,2,3,6,6,5,6,3,7
"10746",109293,10,"0001dbd8","0001db8e",35,33,0,1,23,20,0,0,6,6,4,4,2,2
"10747",109294,10,"0001d578","0001dbdc",29,40,0,0,17,23,0,1,5,6,4,6,3,4
"10748",109295,10,"0001dc0b","0001d668",43,35,1,0,24,20,1,0,6,6,5,4,6,5
"10749",109296,12,"0001d580","0001d4e2",33,45,0,2,21,26,0,0,4,6,3,5,5,6
"10750",109297,14,"0000cee4","0001dbf2",35,41,0,0,26,25,0,0,5,6,2,5,2,5
"10751",109298,14,"0001dbb5","0001d497",33,42,0,2,26,30,0,0,4,5,3,5,0,0
"10752",109299,11,"0000ccfb","0000ce21",47,24,2,0,30,14,1,0,6,4,3,3,5,3
"10753",109300,12,"0000cbf8","0001d56a",34,31,0,0,26,22,0,0,6,6,2,3,0,0
"10754",109301,12,"0001d395","0001d32b",30,26,0,0,18,15,0,0,5,6,3,4,4,1
"10755",109302,12,"0000c9be","0001b141",26,30,0,0,16,17,0,0,4,4,3,4,3,5
"10756",109303,14,"0001dc0c","0001d30e",24,22,0,0,16,16,0,0,4,3,2,3,2,0
"10757",109304,11,"0001ad83","0001dbd9",24,29,0,0,13,20,0,0,5,5,4,4,2,0
"10758",109305,10,"0001dba7","0001dbfe",24,24,0,0,16,15,0,0,4,6,3,3,1,0
"10759",109306,10,"0001d381","0001d380",33,33,1,0,19,21,1,0,5,6,3,4,4,2
"10760",109307,13,"0001d668","0001dbc3",37,37,0,0,24,25,0,0,6,6,4,4,3,2
"10762",109309,14,"0001dbdc","0001d3aa",38,34,0,0,23,22,0,0,6,6,6,5,3,1
"10763",109310,12,"0001dbb3","0000ce20",27,32,0,0,17,24,0,0,6,6,4,2,0,0
"10764",109311,11,"0001d49a","0001dc08",25,30,0,0,16,16,0,1,3,4,2,5,4,4
"10765",109312,12,"0001a9c1","0001dbc8",21,27,0,0,12,16,0,0,5,4,4,5,0,2
"10767",109313,14,"0000cd23","0001b0fa",20,30,0,0,9,15,0,0,6,5,3,5,2,5
"10770",109315,12,"0000ccfb","0001d497",37,38,0,1,26,27,0,0,6,5,3,3,2,2
"10771",109316,13,"0001dbe0","0001dc0c",30,26,0,0,17,14,0,0,6,5,5,4,2,3
"10772",109317,12,"0000cee0","0001d57b",31,27,0,0,22,18,0,0,6,6,2,3,1,0
"10775",109319,11,"0001d392","0001d39e",45,25,1,0,26,13,2,0,6,5,6,3,4,4
"10776",109320,11,"0001dbff","0001a9cb",47,37,1,1,28,23,3,1,6,5,5,3,4,4
"10777",109321,12,"0001ae08","0001d3a9",31,31,0,0,21,18,0,0,5,6,3,5,2,2
"10778",109322,14,"0001dbd5","0000ce13",39,45,1,0,23,27,1,0,6,6,4,5,4,7
"10779",109323,11,"0000ce13","0000c9bc",44,33,0,0,28,24,0,0,6,5,5,1,5,3
"10780",109324,13,"0001dc08","0001d392",38,38,0,0,22,22,0,2,6,6,6,5,4,3
"10781",109325,13,"0001dbd5","0000cee1",27,24,0,0,20,17,0,0,4,4,3,3,0,0
"10782",109326,11,"0000cabf","0001dbf5",16,20,0,0,10,12,0,0,6,6,0,2,0,0
"10785",109328,14,"0001d577","0000cee9",27,27,0,0,16,18,0,0,6,6,3,3,2,0
"10786",109329,12,"0001dbe1","0001d8b8",34,21,0,0,19,10,0,0,6,5,5,4,4,2
"10787",109330,10,"0001dbce","0001de3e",39,39,0,0,26,27,0,0,6,6,3,2,4,4
"10788",109331,13,"0001d353","0001dbb0",28,26,0,0,18,18,0,0,6,4,2,3,2,1
"10789",109332,11,"0001d182","0001dc20",31,18,0,0,21,12,0,0,4,3,4,3,2,0
"10793",109333,10,"0001d51c","0000cee8",26,24,0,0,15,13,0,0,6,6,4,3,1,2
"10795",109334,13,"0001d181","0001d8b5",31,27,0,0,25,20,0,0,5,5,1,2,0,0
"10796",109335,14,"0001d39f","0000c9be",39,21,0,0,24,14,0,0,6,4,6,3,3,0
"10797",109336,12,"0001d182","0001b120",27,29,0,0,22,22,0,0,4,5,1,2,0,0
"10798",109337,13,"0001db88","0001dbeb",27,34,0,0,14,19,0,0,6,6,4,5,3,4
"10800",109339,13,"0001d8b8","0001d570",38,26,2,0,26,18,0,0,6,4,4,3,0,1
"10801",109340,12,"0001d668","0001dc0b",37,39,0,0,26,26,0,0,5,6,3,3,3,4
"10802",109341,13,"0001d3a4","0000ccf0",33,32,1,1,23,22,0,0,5,4,3,4,1,1
"10804",109343,14,"0000ceea","0001d49a",24,29,0,0,14,19,0,0,5,3,2,4,3,3
"10805",109344,11,"0000c9bb","0000cabf",38,33,1,0,24,19,0,1,5,6,6,5,2,2
"10806",109345,13,"0000c9b6","0000ce13",30,41,0,0,20,25,0,0,5,6,4,5,1,5
"10807",109346,10,"0000cab4","0001d3aa",15,24,0,0,8,14,0,0,2,4,2,3,3,3
"10809",109347,12,"0001dbf8","0001dc0d",24,23,0,0,19,16,0,0,4,3,1,3,0,1
"10810",109348,13,"0001dba6","0001d58a",30,31,0,0,23,21,0,0,5,5,2,4,0,1
"10811",109349,10,"0001dba7","0001d569",30,30,0,0,20,21,0,0,4,6,4,3,2,0
"10812",109350,13,"0001d5fb","0000c9b7",41,25,0,0,30,18,0,0,5,4,2,3,4,0
"10813",109351,10,"0001dc08","0001d3a4",25,32,0,1,16,22,0,0,6,6,3,3,0,0
"10814",109352,12,"0001d2d3","0001d353",49,46,2,2,29,30,2,0,5,4,5,6,6,4
"10816",109354,11,"0000cccf","0000cc4c",44,34,1,0,26,19,1,0,6,6,4,5,6,4
"10817",109355,10,"0001d30b","0001d497",22,21,0,0,12,16,0,0,5,5,5,0,0,0
"10819",109356,12,"0001dbb5","0001d8b4",44,44,1,0,24,24,2,1,6,6,5,6,6,7
"10821",109358,14,"0001dc0b","0001d668",33,31,0,0,19,21,0,0,6,6,5,3,3,1
"10822",109359,12,"0001dbe1","0001d8b8",37,19,0,0,22,13,0,0,6,6,6,0,3,0
"10823",109360,10,"0001d588","0000ce1e",42,31,0,0,26,17,0,0,6,5,5,3,5,6
"10824",109361,13,"0001dbfe","0000cbf8",34,44,1,3,22,28,0,0,6,6,4,3,1,4
"10825",109362,14,"0001dbc5","0001a9aa",36,31,0,0,22,18,0,0,5,6,3,5,6,2
